CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
Interval,ErrorReturn,1753010432754215524,NA,NA,1753010460418837449,NA
Interval,ErrorReturn,1753010460418852127,NA,NA,1753010488380406949,NA
Interval,ErrorReturn,1753010488380413677,NA,NA,1753010515775900066,NA
Interval,ErrorReturn,1753010515775904745,NA,NA,1753010543495655163,NA
Interval,ErrorReturn,1753010543495661391,NA,NA,1753010571154388730,NA
Interval,ErrorReturn,1753010571154513099,1753010571164788604,1753010571171088406,1753010571171088496,10
Interval,ErrorReturn,1753010571171105700,1753010571181262839,1753010571187786321,1753010571187786410,10
Interval,ErrorReturn,1753010571187802805,1753010571197894901,1753010571204480977,1753010571204481010,10
Interval,ErrorReturn,1753010571204495497,1753010571214585456,1753010571221175174,1753010571221175274,10
Interval,ErrorReturn,1753010571221190152,1753010571231287407,1753010571237869673,1753010571237869798,10
Interval,ErrorReturn,1753010571237886945,1753010571342988707,1753010571354727268,1753010571354727376,105
Interval,ErrorReturn,1753010571354756103,1753010571459964058,1753010571471587754,1753010571471588057,105
Interval,ErrorReturn,1753010571471610788,1753010571576731983,1753010571588447668,1753010571588447799,105
Interval,ErrorReturn,1753010571588480097,1753010571693583270,1753010571705306137,1753010571705306284,105
Interval,ErrorReturn,1753010571705339878,1753010571810518130,1753010571822171707,1753010571822171881,105
Interval,ErrorReturn,1753010571822194585,1753010573943362250,1753010573958966930,1753010573958967658,2121
Interval,ErrorReturn,1753010573959011547,1753010576080240010,1753010576095800918,1753010576095801332,2121
Interval,ErrorReturn,1753010576095852154,1753010578217068441,1753010578232602823,1753010578232603727,2121
Interval,ErrorReturn,1753010578232654815,1753010580353872852,1753010580369403700,1753010580369404064,2121
Interval,ErrorReturn,1753010580369455481,1753010582490661366,1753010582506203567,1753010582506203970,2121
Interval,ErrorReturn,1753010582506250427,1753010586827434684,1753010586829882997,1753010586829883608,4321
Interval,ErrorReturn,1753010586829930256,1753010591151107604,1753010591153557963,1753010591153558343,4321
Interval,ErrorReturn,1753010591153600484,1753010595474757283,1753010595477234007,1753010595477234589,4321
Interval,ErrorReturn,1753010595477285063,1753010599798493162,1753010599800910954,1753010599800911471,4321
Interval,ErrorReturn,1753010599800958082,1753010604122151677,1753010604124587358,1753010604124587742,4321
Interval,Exception,1753010604124660501,NA,NA,1753010632034097849,NA
Interval,Exception,1753010632034103787,NA,NA,1753010660050621293,NA
Interval,Exception,1753010660050627398,NA,NA,1753010688088590765,NA
Interval,Exception,1753010688088598091,NA,NA,1753010716096801227,NA
Interval,Exception,1753010716096808026,NA,NA,1753010744081175053,NA
Interval,Exception,1753010744081227575,1753010744091405285,1753010744097874356,1753010744097944624,10
Interval,Exception,1753010744097958061,1753010744108132066,1753010744114639284,1753010744114643242,10
Interval,Exception,1753010744114663967,1753010744124845302,1753010744131337429,1753010744131346357,10
Interval,Exception,1753010744131373340,1753010744141458584,1753010744148040566,1753010744148043699,10
Interval,Exception,1753010744148059280,1753010744158243802,1753010744164737932,1753010744164741898,10
Interval,Exception,1753010744164772514,1753010744269875828,1753010744281598599,1753010744281608840,105
Interval,Exception,1753010744281641227,1753010744386743394,1753010744398466394,1753010744398486782,105
Interval,Exception,1753010744398527464,1753010744503631326,1753010744515344744,1753010744515368175,105
Interval,Exception,1753010744515414200,1753010744620538286,1753010744632228338,1753010744632249282,105
Interval,Exception,1753010744632284900,1753010744737458843,1753010744749108914,1753010744749132610,105
Interval,Exception,1753010744749173669,1753010746870361325,1753010746885930773,1753010746885956626,2121
Interval,Exception,1753010746885997729,1753010749007195574,1753010749022753833,1753010749022782806,2121
Interval,Exception,1753010749022839733,1753010751143943176,1753010751159582434,1753010751159610000,2121
Interval,Exception,1753010751159660190,1753010753280849414,1753010753296410957,1753010753296438239,2121
Interval,Exception,1753010753296484167,1753010755417614217,1753010755433238453,1753010755433268849,2121
Interval,Exception,1753010755433310015,1753010759754426053,1753010759756943912,1753010759756974400,4321
Interval,Exception,1753010759757012339,1753010764078179089,1753010764080650387,1753010764080667133,4321
Interval,Exception,1753010764080696071,1753010768401851971,1753010768404347962,1753010768404375466,4321
Interval,Exception,1753010768404420328,1753010772725635450,1753010772728047857,1753010772728066538,4321
Interval,Exception,1753010772728093298,1753010777049367750,1753010777051738412,1753010777051765621,4321
