CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1753079128395363545,NA,NA,1753079154678889969,NA
AtomicEnum,ErrorReturn,1753079154678902351,NA,NA,1753079181441169403,NA
AtomicEnum,ErrorReturn,1753079181441175449,NA,NA,1753079208479641112,NA
AtomicEnum,ErrorReturn,1753079208479646754,NA,NA,1753079234995987585,NA
AtomicEnum,ErrorReturn,1753079234995993155,NA,NA,1753079261288049663,NA
AtomicEnum,ErrorReturn,1753079261288054094,NA,NA,1753079287501075987,NA
AtomicEnum,ErrorReturn,1753079287501080358,NA,NA,1753079313758888037,NA
AtomicEnum,ErrorReturn,1753079313758893266,NA,NA,1753079340082864095,NA
AtomicEnum,ErrorReturn,1753079340082869437,NA,NA,1753079366392227623,NA
AtomicEnum,ErrorReturn,1753079366392232278,NA,NA,1753079393226596802,NA
AtomicEnum,ErrorReturn,1753079393226677267,1753079393236924868,1753079393236925593,1753079393236925733,10
AtomicEnum,ErrorReturn,1753079393237096534,1753079393247292397,1753079393247292999,1753079393247293132,10
AtomicEnum,ErrorReturn,1753079393247336234,1753079393257477891,1753079393257478511,1753079393257478608,10
AtomicEnum,ErrorReturn,1753079393257528671,1753079393267626531,1753079393267626944,1753079393267627032,10
AtomicEnum,ErrorReturn,1753079393267670711,1753079393277771938,1753079393277772663,1753079393277772758,10
AtomicEnum,ErrorReturn,1753079393277814499,1753079393287905168,1753079393287905574,1753079393287905663,10
AtomicEnum,ErrorReturn,1753079393287949101,1753079393298037316,1753079393298038046,1753079393298038185,10
AtomicEnum,ErrorReturn,1753079393298078052,1753079393308166774,1753079393308167239,1753079393308167326,10
AtomicEnum,ErrorReturn,1753079393308207415,1753079393318307238,1753079393318309785,1753079393318309904,10
AtomicEnum,ErrorReturn,1753079393318345857,1753079393328434140,1753079393328434678,1753079393328434791,10
AtomicEnum,ErrorReturn,1753079393328476848,1753079393433574610,1753079393433575364,1753079393433575403,105
AtomicEnum,ErrorReturn,1753079393433613865,1753079393538933008,1753079393538933387,1753079393538933454,105
AtomicEnum,ErrorReturn,1753079393538966301,1753079393644243739,1753079393644244475,1753079393644244589,105
AtomicEnum,ErrorReturn,1753079393644289390,1753079393749482258,1753079393749483015,1753079393749483348,105
