CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1755274990883265266,NA,NA,1755275018257372823,NA
AtomicEnum,ErrorReturn,1755275018257388922,NA,NA,1755275045710640385,NA
AtomicEnum,ErrorReturn,1755275045710644149,NA,NA,1755275072882146592,NA
AtomicEnum,ErrorReturn,1755275072882152047,NA,NA,1755275100407960602,NA
AtomicEnum,ErrorReturn,1755275100407966561,NA,NA,1755275127455953071,NA
AtomicEnum,ErrorReturn,1755275127455959794,NA,NA,1755275154754315378,NA
AtomicEnum,ErrorReturn,1755275154754321281,NA,NA,1755275181670358015,NA
AtomicEnum,ErrorReturn,1755275181670361462,NA,NA,1755275208900591748,NA
AtomicEnum,ErrorReturn,1755275208900598596,NA,NA,1755275235784604487,NA
AtomicEnum,ErrorReturn,1755275235784612368,NA,NA,1755275262890179833,NA
AtomicEnum,ErrorReturn,1755275262890186221,NA,NA,1755275289772746628,NA
AtomicEnum,ErrorReturn,1755275289772753595,NA,NA,1755275316923151689,NA
AtomicEnum,ErrorReturn,1755275316923157857,NA,NA,1755275343757384976,NA
AtomicEnum,ErrorReturn,1755275343757390259,NA,NA,1755275370531717413,NA
AtomicEnum,ErrorReturn,1755275370531724921,NA,NA,1755275397344404424,NA
AtomicEnum,ErrorReturn,1755275397344410446,NA,NA,1755275424023460784,NA
AtomicEnum,ErrorReturn,1755275424023475646,NA,NA,1755275450685568162,NA
AtomicEnum,ErrorReturn,1755275450685575636,NA,NA,1755275477365766323,NA
AtomicEnum,ErrorReturn,1755275477365771995,NA,NA,1755275504422649008,NA
AtomicEnum,ErrorReturn,1755275504422655166,NA,NA,1755275531392270855,NA
AtomicEnum,ErrorReturn,1755275531392399576,1755275531402643520,1755275531402644203,1755275531402644322,10
AtomicEnum,ErrorReturn,1755275531402820843,1755275531412993008,1755275531412993699,1755275531412993820,10
AtomicEnum,ErrorReturn,1755275531413047361,1755275531423139184,1755275531423139901,1755275531423140045,10
