CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1754209535998280815,NA,NA,1754209562519965342,NA
AtomicEnum,ErrorReturn,1754209562519981229,NA,NA,1754209589090614839,NA
AtomicEnum,ErrorReturn,1754209589090622677,NA,NA,1754209615832450783,NA
AtomicEnum,ErrorReturn,1754209615832457452,NA,NA,1754209642088228885,NA
AtomicEnum,ErrorReturn,1754209642088235412,NA,NA,1754209667841793347,NA
AtomicEnum,ErrorReturn,1754209667841892802,1754209667852122838,1754209667852123422,1754209667852123571,10
AtomicEnum,ErrorReturn,1754209667852402367,1754209667862599196,1754209667862599771,1754209667862599909,10
AtomicEnum,ErrorReturn,1754209667862723881,1754209667872840283,1754209667872841031,1754209667872841178,10
AtomicEnum,ErrorReturn,1754209667872988960,1754209667883089660,1754209667883090310,1754209667883090445,10
AtomicEnum,ErrorReturn,1754209667883218179,1754209667893304688,1754209667893305354,1754209667893305486,10
AtomicEnum,ErrorReturn,1754209667893442382,1754209667998554201,1754209667998554804,1754209667998555244,105
AtomicEnum,ErrorReturn,1754209667998608243,1754209668103788276,1754209668103788838,1754209668103788946,105
AtomicEnum,ErrorReturn,1754209668103828639,1754209668209006106,1754209668209006746,1754209668209006832,105
AtomicEnum,ErrorReturn,1754209668209049649,1754209668314257895,1754209668314258458,1754209668314258570,105
AtomicEnum,ErrorReturn,1754209668314304507,1754209668419489647,1754209668419490354,1754209668419490436,105
AtomicEnum,ErrorReturn,1754209668419532761,1754209670540760354,1754209670540762431,1754209670540763014,2121
AtomicEnum,ErrorReturn,1754209670540909172,1754209672662153115,1754209672662155093,1754209672662155629,2121
AtomicEnum,ErrorReturn,1754209672662240640,1754209674783441225,1754209674783443669,1754209674783444051,2121
AtomicEnum,ErrorReturn,1754209674783647421,1754209676904829182,1754209676904831380,1754209676904831872,2121
AtomicEnum,ErrorReturn,1754209676904891252,1754209679026008826,1754209679026010909,1754209679026011534,2121
AtomicEnum,ErrorReturn,1754209679026075388,1754209683347263903,1754209683347265970,1754209683347266577,4321
AtomicEnum,ErrorReturn,1754209683347362457,1754209687668564244,1754209687668567207,1754209687668568314,4321
