CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1754131755455789940,NA,NA,1754131783360180143,NA
AtomicEnum,ErrorReturn,1754131783360197177,NA,NA,1754131810051312591,NA
AtomicEnum,ErrorReturn,1754131810051318476,NA,NA,1754131836746267736,NA
AtomicEnum,ErrorReturn,1754131836746274042,NA,NA,1754131863746091628,NA
AtomicEnum,ErrorReturn,1754131863746098338,NA,NA,1754131890675728624,NA
AtomicEnum,ErrorReturn,1754131890675824621,1754131890686058078,1754131890686058773,1754131890686059008,10
AtomicEnum,ErrorReturn,1754131890686218124,1754131890696438803,1754131890696439420,1754131890696439517,10
AtomicEnum,ErrorReturn,1754131890696490467,1754131890706574667,1754131890706575218,1754131890706575424,10
AtomicEnum,ErrorReturn,1754131890706614494,1754131890716784331,1754131890716784981,1754131890716785166,10
AtomicEnum,ErrorReturn,1754131890716824424,1754131890726918555,1754131890726919134,1754131890726919246,10
AtomicEnum,ErrorReturn,1754131890726957375,1754131890832063213,1754131890832063811,1754131890832063949,105
AtomicEnum,ErrorReturn,1754131890832108235,1754131890937295807,1754131890937296794,1754131890937296889,105
AtomicEnum,ErrorReturn,1754131890937349078,1754131891042543036,1754131891042543719,1754131891042543917,105
AtomicEnum,ErrorReturn,1754131891042595040,1754131891147773801,1754131891147774401,1754131891147774538,105
AtomicEnum,ErrorReturn,1754131891147816987,1754131891253007135,1754131891253007778,1754131891253007984,105
AtomicEnum,ErrorReturn,1754131891253053211,1754131893374263849,1754131893374267202,1754131893374267687,2121
AtomicEnum,ErrorReturn,1754131893374431032,1754131895495548394,1754131895495550793,1754131895495551618,2121
AtomicEnum,ErrorReturn,1754131895495619623,1754131897616813476,1754131897616816383,1754131897616817080,2121
AtomicEnum,ErrorReturn,1754131897616894262,1754131899738091759,1754131899738094467,1754131899738095059,2121
AtomicEnum,ErrorReturn,1754131899738243043,1754131901859414866,1754131901859417577,1754131901859418134,2121
AtomicEnum,ErrorReturn,1754131901859509007,1754131906180620519,1754131906180623107,1754131906180623805,4321
AtomicEnum,ErrorReturn,1754131906180711521,1754131910501830268,1754131910501832411,1754131910501833060,4321
AtomicEnum,ErrorReturn,1754131910501922944,1754131914823161969,1754131914823164820,1754131914823165453,4321
AtomicEnum,ErrorReturn,1754131914823347787,1754131919144525899,1754131919144528081,1754131919144528739,4321
AtomicEnum,ErrorReturn,1754131919144690841,1754131923465811936,1754131923465813595,1754131923465814104,4321
AtomicEnum,Exception,1754131923466016097,NA,NA,1754131950199114063,NA
AtomicEnum,Exception,1754131950199118885,NA,NA,1754131976951441828,NA
AtomicEnum,Exception,1754131976951447109,NA,NA,1754132003713359847,NA
AtomicEnum,Exception,1754132003713366464,NA,NA,1754132030460798713,NA
AtomicEnum,Exception,1754132030460806654,NA,NA,1754132057146438976,NA
AtomicEnum,Exception,1754132057146493456,1754132057156696021,1754132057156696566,1754132057156766121,10
AtomicEnum,Exception,1754132057156782033,1754132057166956723,1754132057166957518,1754132057166966781,10
AtomicEnum,Exception,1754132057167004330,1754132057177094118,1754132057177094608,1754132057177097975,10
