CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1753259455477934517,NA,NA,1753259599951461632,NA
AtomicEnum,ErrorReturn,1753259599951476047,NA,NA,1753259743330979944,NA
AtomicEnum,ErrorReturn,1753259743330983999,NA,NA,1753259886635393794,NA
AtomicEnum,ErrorReturn,1753259886635398963,NA,NA,1753260031070568453,NA
AtomicEnum,ErrorReturn,1753260031070572560,NA,NA,1753260175111587819,NA
AtomicEnum,ErrorReturn,1753260175111591081,NA,NA,1753260319063433988,NA
AtomicEnum,ErrorReturn,1753260319063438229,NA,NA,1753260462445155286,NA
AtomicEnum,ErrorReturn,1753260462445159281,NA,NA,1753260606379491131,NA
AtomicEnum,ErrorReturn,1753260606379494679,NA,NA,1753260749606993041,NA
AtomicEnum,ErrorReturn,1753260749606997582,NA,NA,1753260893333835308,NA
AtomicEnum,ErrorReturn,1753260893333904489,1753260893344063213,1753260893344064361,1753260893344064448,10
AtomicEnum,ErrorReturn,1753260893344186926,1753260893354336614,1753260893354337965,1753260893354338067,10
AtomicEnum,ErrorReturn,1753260893354359100,1753260893364448943,1753260893364449805,1753260893364449876,10
AtomicEnum,ErrorReturn,1753260893364477597,1753260893374624506,1753260893374624731,1753260893374624812,10
AtomicEnum,ErrorReturn,1753260893374650722,1753260893384822737,1753260893384822945,1753260893384822989,10
AtomicEnum,ErrorReturn,1753260893384848908,1753260893394998616,1753260893394999168,1753260893394999219,10
AtomicEnum,ErrorReturn,1753260893395023256,1753260893405170025,1753260893405170607,1753260893405170669,10
AtomicEnum,ErrorReturn,1753260893405190102,1753260893415256034,1753260893415256258,1753260893415256306,10
AtomicEnum,ErrorReturn,1753260893415292247,1753260893425451302,1753260893425452085,1753260893425452130,10
AtomicEnum,ErrorReturn,1753260893425471484,1753260893435614576,1753260893435615014,1753260893435615059,10
AtomicEnum,ErrorReturn,1753260893435637688,1753260893540800132,1753260893540800993,1753260893540801109,105
AtomicEnum,ErrorReturn,1753260893540820186,1753260893645969957,1753260893645971093,1753260893645971251,105
AtomicEnum,ErrorReturn,1753260893645992022,1753260893751141729,1753260893751142493,1753260893751142573,105
AtomicEnum,ErrorReturn,1753260893751164141,1753260893856294954,1753260893856295282,1753260893856295339,105
AtomicEnum,ErrorReturn,1753260893856314838,1753260893961471650,1753260893961473358,1753260893961473580,105
AtomicEnum,ErrorReturn,1753260893961529224,1753260894066674573,1753260894066675881,1753260894066675970,105
AtomicEnum,ErrorReturn,1753260894066696285,1753260894171843827,1753260894171844551,1753260894171844601,105
AtomicEnum,ErrorReturn,1753260894171865364,1753260894277016603,1753260894277017442,1753260894277017523,105
AtomicEnum,ErrorReturn,1753260894277037288,1753260894382194861,1753260894382196247,1753260894382196282,105
AtomicEnum,ErrorReturn,1753260894382214680,1753260894487363671,1753260894487364687,1753260894487364750,105
AtomicEnum,ErrorReturn,1753260894487383785,1753260896608534629,1753260896608536202,1753260896608536380,2121
AtomicEnum,ErrorReturn,1753260896608635969,1753260898729789914,1753260898729791300,1753260898729791502,2121
AtomicEnum,ErrorReturn,1753260898729850111,1753260900851007847,1753260900851009272,1753260900851009471,2121
AtomicEnum,ErrorReturn,1753260900851118448,1753260902972213876,1753260902972215868,1753260902972216230,2121
AtomicEnum,ErrorReturn,1753260902972279138,1753260905093423751,1753260905093425002,1753260905093425168,2121
AtomicEnum,ErrorReturn,1753260905093486582,1753260907214637829,1753260907214638960,1753260907214639205,2121
AtomicEnum,ErrorReturn,1753260907214692154,1753260909335796935,1753260909335798733,1753260909335799004,2121
AtomicEnum,ErrorReturn,1753260909335859398,1753260911456995557,1753260911456996443,1753260911456996731,2121
AtomicEnum,ErrorReturn,1753260911457069308,1753260913578214846,1753260913578216378,1753260913578216663,2121
AtomicEnum,ErrorReturn,1753260913578330850,1753260915699487571,1753260915699488827,1753260915699489080,2121
AtomicEnum,ErrorReturn,1753260915699540881,1753260920020691442,1753260920020692880,1753260920020693165,4321
AtomicEnum,ErrorReturn,1753260920020755862,1753260924341906873,1753260924341907438,1753260924341907662,4321
AtomicEnum,ErrorReturn,1753260924342007612,1753260928663155291,1753260928663155880,1753260928663156104,4321
AtomicEnum,ErrorReturn,1753260928663309342,1753260932984460871,1753260932984461762,1753260932984462042,4321
AtomicEnum,ErrorReturn,1753260932984521867,1753260937305672274,1753260937305673007,1753260937305673241,4321
AtomicEnum,ErrorReturn,1753260937305796434,1753260941626900849,1753260941626902770,1753260941626902965,4321
AtomicEnum,ErrorReturn,1753260941626953321,1753260945948104128,1753260945948106170,1753260945948106357,4321
AtomicEnum,ErrorReturn,1753260945948162916,1753260950269330242,1753260950269331124,1753260950269331400,4321
AtomicEnum,ErrorReturn,1753260950269441495,1753260954590606814,1753260954590608184,1753260954590608441,4321
AtomicEnum,ErrorReturn,1753260954590719491,1753260958911871546,1753260958911872461,1753260958911872738,4321
AtomicEnum,Exception,1753260958911948444,NA,NA,1753261103014440470,NA
AtomicEnum,Exception,1753261103014445066,NA,NA,1753261246862731912,NA
AtomicEnum,Exception,1753261246862735784,NA,NA,1753261390758016843,NA
AtomicEnum,Exception,1753261390758020623,NA,NA,1753261534500362304,NA
AtomicEnum,Exception,1753261534500367188,NA,NA,1753261679391457833,NA
AtomicEnum,Exception,1753261679391461793,NA,NA,1753261822801473541,NA
AtomicEnum,Exception,1753261822801477896,NA,NA,1753261966727599551,NA
AtomicEnum,Exception,1753261966727603333,NA,NA,1753262111089232947,NA
AtomicEnum,Exception,1753262111089236997,NA,NA,1753262254760670258,NA
AtomicEnum,Exception,1753262254760674859,NA,NA,1753262398669634326,NA
AtomicEnum,Exception,1753262398669659951,1753262398679815532,1753262398679816223,1753262398679872652,10
AtomicEnum,Exception,1753262398679883892,1753262398690034748,1753262398690035054,1753262398690041256,10
AtomicEnum,Exception,1753262398690058142,1753262398700201802,1753262398700202954,1753262398700208495,10
AtomicEnum,Exception,1753262398700218882,1753262398710380870,1753262398710381868,1753262398710389198,10
AtomicEnum,Exception,1753262398710399677,1753262398720554258,1753262398720554875,1753262398720560057,10
AtomicEnum,Exception,1753262398720569701,1753262398730730543,1753262398730730993,1753262398730735985,10
AtomicEnum,Exception,1753262398730745806,1753262398740907194,1753262398740908007,1753262398740913640,10
AtomicEnum,Exception,1753262398740925208,1753262398751086850,1753262398751088089,1753262398751093600,10
AtomicEnum,Exception,1753262398751104198,1753262398761246346,1753262398761247526,1753262398761252581,10
AtomicEnum,Exception,1753262398761261668,1753262398771370460,1753262398771371367,1753262398771376442,10
AtomicEnum,Exception,1753262398771387095,1753262398876542965,1753262398876544833,1753262398876564339,105
AtomicEnum,Exception,1753262398876600055,1753262398981741870,1753262398981743338,1753262398981757528,105
AtomicEnum,Exception,1753262398981782677,1753262399086946295,1753262399086947492,1753262399086953633,105
AtomicEnum,Exception,1753262399086967907,1753262399192098992,1753262399192100081,1753262399192105956,105
AtomicEnum,Exception,1753262399192116760,1753262399297273497,1753262399297274121,1753262399297280115,105
AtomicEnum,Exception,1753262399297292045,1753262399402454379,1753262399402455720,1753262399402461451,105
AtomicEnum,Exception,1753262399402472088,1753262399507634670,1753262399507636058,1753262399507641661,105
AtomicEnum,Exception,1753262399507657266,1753262399612823707,1753262399612824832,1753262399612830551,105
AtomicEnum,Exception,1753262399612841618,1753262399718004827,1753262399718005138,1753262399718010622,105
AtomicEnum,Exception,1753262399718021120,1753262399823208512,1753262399823210088,1753262399823216368,105
AtomicEnum,Exception,1753262399823228586,1753262401944391698,1753262401944392905,1753262401944408411,2121
AtomicEnum,Exception,1753262401944458229,1753262404065611228,1753262404065612825,1753262404065627573,2121
AtomicEnum,Exception,1753262404065670928,1753262406186840061,1753262406186840962,1753262406186853389,2121
AtomicEnum,Exception,1753262406186891291,1753262408308037743,1753262408308038736,1753262408308051730,2121
AtomicEnum,Exception,1753262408308090929,1753262410429243002,1753262410429244817,1753262410429258559,2121
