CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1754554528032552372,NA,NA,1754554554366031586,NA
AtomicEnum,ErrorReturn,1754554554366075163,NA,NA,1754554581184320821,NA
AtomicEnum,ErrorReturn,1754554581184341539,NA,NA,1754554607659973099,NA
AtomicEnum,ErrorReturn,1754554607659994569,NA,NA,1754554633938144580,NA
AtomicEnum,ErrorReturn,1754554633938164323,NA,NA,1754554660105069600,NA
AtomicEnum,Exception,1754554660105162817,NA,1754554660105163165,1754554660105223012,NA
AtomicEnum,Exception,1754554660105224015,NA,1754554660105224067,1754554660105225849,NA
AtomicEnum,Exception,1754554660105226400,NA,1754554660105226450,1754554660105227515,NA
AtomicEnum,Exception,1754554660105228022,NA,1754554660105228068,1754554660105229065,NA
AtomicEnum,Exception,1754554660105229532,NA,1754554660105229578,1754554660105230562,NA
FunctionExchange,ErrorReturn,1754554660105237022,NA,NA,1754554688979859368,NA
FunctionExchange,ErrorReturn,1754554688979883246,NA,NA,1754554717603022442,NA
FunctionExchange,ErrorReturn,1754554717603044232,NA,NA,1754554747006428445,NA
FunctionExchange,ErrorReturn,1754554747006451903,NA,NA,1754554776475297670,NA
FunctionExchange,ErrorReturn,1754554776475333661,NA,NA,1754554804081745999,NA
FunctionExchange,Exception,1754554804081784441,NA,NA,1754554833699905318,NA
FunctionExchange,Exception,1754554833699931195,NA,NA,1754554862786101259,NA
FunctionExchange,Exception,1754554862786124807,NA,NA,1754554892398709686,NA
FunctionExchange,Exception,1754554892398731183,NA,NA,1754554922004442606,NA
FunctionExchange,Exception,1754554922004464665,NA,NA,1754554951484320782,NA
FunctionPointerExchange,ErrorReturn,1754554951484368263,NA,NA,1754554977745156295,NA
FunctionPointerExchange,ErrorReturn,1754554977745179667,NA,NA,1754555004488603838,NA
FunctionPointerExchange,ErrorReturn,1754555004488626021,NA,NA,1754555030544394148,NA
FunctionPointerExchange,ErrorReturn,1754555030544417856,NA,NA,1754555056187070353,NA
FunctionPointerExchange,ErrorReturn,1754555056187093722,NA,NA,1754555082091648894,NA
FunctionPointerExchange,Exception,1754555082091694923,NA,NA,1754555111717165901,NA
FunctionPointerExchange,Exception,1754555111717186232,NA,NA,1754555141371612108,NA
FunctionPointerExchange,Exception,1754555141371635250,NA,NA,1754555171038343131,NA
FunctionPointerExchange,Exception,1754555171038366901,NA,NA,1754555200673282191,NA
FunctionPointerExchange,Exception,1754555200673302728,NA,NA,1754555230265019769,NA
FunctionPointerExchangeJustExec,Exception,1754555230265063931,NA,NA,1754555256345897959,NA
FunctionPointerExchangeJustExec,Exception,1754555256345924500,NA,NA,1754555282405663215,NA
FunctionPointerExchangeJustExec,Exception,1754555282405686878,NA,NA,1754555308457111746,NA
FunctionPointerExchangeJustExec,Exception,1754555308457125243,NA,NA,1754555334473156058,NA
FunctionPointerExchangeJustExec,Exception,1754555334473184800,NA,NA,1754555360492744170,NA
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,1754555360492804360,NA,NA,1754555386141391105,NA
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,1754555386141413169,NA,NA,1754555412321520355,NA
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,1754555412321543377,NA,NA,1754555438194964147,NA
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,1754555438194986456,NA,NA,1754555463833122538,NA
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,1754555463833149330,NA,NA,1754555489491506653,NA
FunctionPointerExchangeDifferentCompUnit,Exception,1754555489491554312,NA,NA,1754555515107399640,NA
FunctionPointerExchangeDifferentCompUnit,Exception,1754555515107421950,NA,NA,1754555540757179377,NA
FunctionPointerExchangeDifferentCompUnit,Exception,1754555540757205188,NA,NA,1754555566399105314,NA
FunctionPointerExchangeDifferentCompUnit,Exception,1754555566399121115,NA,NA,1754555592012643158,NA
FunctionPointerExchangeDifferentCompUnit,Exception,1754555592012669268,NA,NA,1754555617663469504,NA
FunctionPointerExchangeCallConv,ErrorReturn,1754555617663513928,NA,NA,1754555643235448271,NA
FunctionPointerExchangeCallConv,ErrorReturn,1754555643235472878,NA,NA,1754555669031058750,NA
FunctionPointerExchangeCallConv,ErrorReturn,1754555669031083960,NA,NA,1754555694912708158,NA
FunctionPointerExchangeCallConv,ErrorReturn,1754555694912730445,NA,NA,1754555721127385253,NA
FunctionPointerExchangeCallConv,ErrorReturn,1754555721127408904,NA,NA,1754555747178167647,NA
Interval,ErrorReturn,1754555747178221039,NA,NA,1754555772806194257,NA
Interval,ErrorReturn,1754555772806216466,NA,NA,1754555799017053621,NA
Interval,ErrorReturn,1754555799017075910,NA,NA,1754555825750055987,NA
Interval,ErrorReturn,1754555825750077195,NA,NA,1754555852374922389,NA
Interval,ErrorReturn,1754555852374958457,NA,NA,1754555879028487410,NA
Interval,Exception,1754555879028533272,NA,NA,1754555903799914117,NA
Interval,Exception,1754555903799935900,NA,NA,1754555928677190547,NA
Interval,Exception,1754555928677211341,NA,NA,1754555953584427202,NA
Interval,Exception,1754555953584450131,NA,NA,1754555978832419672,NA
Interval,Exception,1754555978832441036,NA,NA,1754556003939844074,NA
Union,ErrorReturn,1754556003939889534,NA,NA,1754556032110319300,NA
Union,ErrorReturn,1754556032110345991,NA,NA,1754556060277182133,NA
Union,ErrorReturn,1754556060277209840,NA,NA,1754556089065587488,NA
Union,ErrorReturn,1754556089065614188,NA,NA,1754556117994558165,NA
Union,ErrorReturn,1754556117994582912,NA,NA,1754556146927540211,NA
Union,Exception,1754556146927591130,NA,NA,1754556176035179262,NA
Union,Exception,1754556176035199678,NA,NA,1754556205110707309,NA
Union,Exception,1754556205110730189,NA,NA,1754556234161416059,NA
Union,Exception,1754556234161436013,NA,NA,1754556263307880005,NA
Union,Exception,1754556263307904344,NA,NA,1754556292253191560,NA
