CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1753023905960113953,NA,NA,1753023937549850893,NA
AtomicEnum,ErrorReturn,1753023937549924114,1753023937560029526,1753023937560030422,1753023937560030549,10
AtomicEnum,ErrorReturn,1753023937560159715,1753023937665242352,1753023937665243763,1753023937665243992,105
AtomicEnum,ErrorReturn,1753023937665485147,1753023939786566466,1753023939786568488,1753023939786569225,2121
AtomicEnum,ErrorReturn,1753023939786645311,1753023944107726976,1753023944107728865,1753023944107729329,4321
AtomicEnum,Exception,1753023944107830658,NA,NA,1753023973044196309,NA
AtomicEnum,Exception,1753023973044233456,1753023973054319109,1753023973054319834,1753023973054371690,10
AtomicEnum,Exception,1753023973054389904,1753023973159480764,1753023973159483655,1753023973159498686,105
AtomicEnum,Exception,1753023973159721103,1753023975280821551,1753023975280824950,1753023975280855792,2121
AtomicEnum,Exception,1753023975280922238,1753023979602008879,1753023979602009664,1753023979602030761,4321
FunctionExchange,ErrorReturn,1753023979602052299,NA,NA,1753024008721720063,NA
FunctionExchange,ErrorReturn,1753024008721779782,1753024008732028921,1753024008732030892,1753024008732030981,10
FunctionExchange,ErrorReturn,1753024008732200789,1753024008837376808,1753024008837378796,1753024008837378920,105
FunctionExchange,ErrorReturn,1753024008837569679,1753024010958767506,1753024010958770409,1753024010958770986,2121
FunctionExchange,ErrorReturn,1753024010958862559,1753024015280074175,1753024015280077893,1753024015280078504,4321
FunctionExchange,Exception,1753024015280234281,NA,NA,1753024043989195735,NA
FunctionExchange,Exception,1753024043989246506,1753024043999332963,1753024043999334648,1753024043999355826,10
FunctionExchange,Exception,1753024043999386617,1753024044104492012,1753024044104494751,1753024044104508234,105
FunctionExchange,Exception,1753024044104557328,1753024046225725825,1753024046225728830,1753024046225748315,2121
FunctionExchange,Exception,1753024046225800619,1753024050546979981,1753024050546983198,1753024050547036077,4321
FunctionPointerExchange,ErrorReturn,1753024050547083500,NA,NA,1753024078588845602,NA
FunctionPointerExchange,ErrorReturn,1753024078588881153,1753024078598950668,1753024078598951363,1753024078598951482,10
FunctionPointerExchange,ErrorReturn,1753024078599016968,1753024078704107428,1753024078704110278,1753024078704110704,105
FunctionPointerExchange,ErrorReturn,1753024078704181705,1753024080825273375,1753024080825275474,1753024080825275935,2121
FunctionPointerExchange,ErrorReturn,1753024080825359933,1753024085146445995,1753024085146447676,1753024085146448139,4321
FunctionPointerExchange,Exception,1753024085146515776,NA,NA,1753024113148388516,NA
FunctionPointerExchange,Exception,1753024113148426284,1753024113158515875,1753024113158517180,1753024113158533947,10
FunctionPointerExchange,Exception,1753024113158578152,1753024113263662037,1753024113263663508,1753024113263686037,105
FunctionPointerExchange,Exception,1753024113263711738,1753024115384875800,1753024115384877660,1753024115384896235,2121
FunctionPointerExchange,Exception,1753024115385062860,1753024119706143809,1753024119706146050,1753024119706165307,4321
FunctionPointerExchangeCallConv,ErrorReturn,1753024119706360775,NA,NA,1753024148174382974,NA
FunctionPointerExchangeCallConv,ErrorReturn,1753024148174419652,1753024148184691020,1753024148184691848,1753024148184691921,10
FunctionPointerExchangeCallConv,ErrorReturn,1753024148184742944,1753024148289957272,1753024148289958360,1753024148289958666,105
FunctionPointerExchangeCallConv,ErrorReturn,1753024148290027133,1753024150411120295,1753024150411122701,1753024150411123091,2121
FunctionPointerExchangeCallConv,ErrorReturn,1753024150411190543,1753024154732378995,1753024154732381748,1753024154732382276,4321
Interval,ErrorReturn,1753024154732446550,NA,NA,1753024182677439396,NA
Interval,ErrorReturn,1753024182677475505,1753024182687562456,1753024182694140039,1753024182694140265,10
Interval,ErrorReturn,1753024182694156272,1753024182799249537,1753024182810999856,1753024182811000340,105
Interval,ErrorReturn,1753024182811047490,1753024184932138953,1753024184947798680,1753024184947799230,2121
Interval,ErrorReturn,1753024184947831905,1753024189269031690,1753024189271463192,1753024189271463798,4321
Interval,Exception,1753024189271499284,NA,NA,1753024217578200150,NA
Interval,Exception,1753024217578239510,1753024217588518192,1753024217594899392,1753024217594917607,10
Interval,Exception,1753024217594936231,1753024217700142307,1753024217711774774,1753024217711782327,105
Interval,Exception,1753024217711799202,1753024219832988985,1753024219848568947,1753024219848587068,2121
Interval,Exception,1753024219848623084,1753024224169727079,1753024224172243538,1753024224172271462,4321
Union,ErrorReturn,1753024224172299596,NA,NA,1753024252654987665,NA
Union,ErrorReturn,1753024252655026785,1753024252665216349,1753024252665225759,1753024252665225883,10
Union,ErrorReturn,1753024252665276469,1753024252770522821,1753024252770534349,1753024252770534771,105
Union,ErrorReturn,1753024252770622976,1753024254891792730,1753024254891796233,1753024254891796606,2121
Union,ErrorReturn,1753024254892014922,1753024259213222050,1753024259213233519,1753024259213233933,4321
Union,Exception,1753024259213308752,NA,NA,1753024287996492205,NA
Union,Exception,1753024287996531991,1753024288006630158,1753024288006639609,1753024288006666005,10
Union,Exception,1753024288006694641,1753024288111887375,1753024288111893487,1753024288111907541,105
Union,Exception,1753024288111936995,1753024290233134773,1753024290233145718,1753024290233164770,2121
Union,Exception,1753024290233349827,1753024294554461929,1753024294554473300,1753024294554491868,4321
