CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1753038864786303812,NA,NA,1753038893539236426,NA
AtomicEnum,ErrorReturn,1753038893539351555,1753038893549630060,1753038893549630821,1753038893549630905,10
AtomicEnum,ErrorReturn,1753038893549761747,1753038893654854492,1753038893654856412,1753038893654856542,105
AtomicEnum,ErrorReturn,1753038893654933351,1753038895776013924,1753038895776016217,1753038895776016718,2121
AtomicEnum,ErrorReturn,1753038895776198551,1753038900097296183,1753038900097298756,1753038900097299619,4321
AtomicEnum,Exception,1753038900097535916,NA,NA,1753038928014220875,NA
AtomicEnum,Exception,1753038928014263640,1753038928024346622,NA,1753038928024405306,10
AtomicEnum,Exception,1753038928024445580,1753038928129644529,NA,1753038928129665873,105
AtomicEnum,Exception,1753038928129728307,1753038930250805993,NA,1753038930250825347,2121
AtomicEnum,Exception,1753038930250866379,1753038934572002321,NA,1753038934572033788,4321
FunctionExchange,ErrorReturn,1753038934572100123,NA,NA,1753038962953889392,NA
FunctionExchange,ErrorReturn,1753038962953924123,1753038962964131456,1753038962964132673,1753038962964132743,10
FunctionExchange,ErrorReturn,1753038962964208037,1753038963069297865,1753038963069301178,1753038963069301752,105
FunctionExchange,ErrorReturn,1753038963069412128,1753038965190634153,1753038965190637790,1753038965190638171,2121
FunctionExchange,ErrorReturn,1753038965190712951,1753038969511923988,1753038969511927018,1753038969511927375,4321
FunctionExchange,Exception,1753038969512003670,NA,NA,1753038998147715486,NA
FunctionExchange,Exception,1753038998147771320,1753038998157852807,1753038998157853403,1753038998157870554,10
FunctionExchange,Exception,1753038998157886345,1753038998263074758,1753038998263077595,1753038998263101639,105
FunctionExchange,Exception,1753038998263144076,1753039000384250562,1753039000384253634,1753039000384272383,2121
FunctionExchange,Exception,1753039000384327123,1753039004705414135,1753039004705416672,1753039004705435997,4321
FunctionPointerExchange,ErrorReturn,1753039004705601806,NA,NA,1753039032682109408,NA
FunctionPointerExchange,ErrorReturn,1753039032682187661,1753039032692272492,1753039032692273163,1753039032692273317,10
FunctionPointerExchange,ErrorReturn,1753039032692428214,1753039032797651981,1753039032797653593,1753039032797653968,105
FunctionPointerExchange,ErrorReturn,1753039032797739939,1753039034918828049,1753039034918829971,1753039034918830394,2121
FunctionPointerExchange,ErrorReturn,1753039034918910985,1753039039240000821,1753039039240003033,1753039039240003257,4321
FunctionPointerExchange,Exception,1753039039240187138,NA,NA,1753039066867358428,NA
FunctionPointerExchange,Exception,1753039066867394756,1753039066877583238,1753039066877583841,1753039066877602098,10
FunctionPointerExchange,Exception,1753039066877631362,1753039066982711908,1753039066982713725,1753039066982740093,105
FunctionPointerExchange,Exception,1753039066982772286,1753039069103865184,1753039069103867273,1753039069103887163,2121
FunctionPointerExchange,Exception,1753039069104098197,1753039073425188103,1753039073425190358,1753039073425211313,4321
FunctionPointerExchangeCallConv,ErrorReturn,1753039073425247697,NA,NA,1753039101628012636,NA
FunctionPointerExchangeCallConv,ErrorReturn,1753039101628048496,1753039101638137131,1753039101638138210,1753039101638138494,10
FunctionPointerExchangeCallConv,ErrorReturn,1753039101638202868,1753039101743305745,1753039101743307723,1753039101743308125,105
FunctionPointerExchangeCallConv,ErrorReturn,1753039101743389031,1753039103864474088,1753039103864475640,1753039103864476068,2121
FunctionPointerExchangeCallConv,ErrorReturn,1753039103864534836,1753039108185612528,1753039108185614257,1753039108185614719,4321
Interval,ErrorReturn,1753039108185701700,NA,NA,1753039136709386697,NA
Interval,ErrorReturn,1753039136709427034,1753039136719511927,1753039136726085864,1753039136726086053,10
Interval,ErrorReturn,1753039136726121492,1753039136831200285,1753039136842947772,1753039136842948070,105
Interval,ErrorReturn,1753039136842996284,1753039138964109595,1753039138979746808,1753039138979747317,2121
Interval,ErrorReturn,1753039138979785169,1753039143300974623,1753039143303414539,1753039143303415399,4321
Interval,Exception,1753039143303448903,NA,NA,1753039171455730408,NA
Interval,Exception,1753039171455755801,1753039171465833773,NA,1753039171472444694,10
Interval,Exception,1753039171472466707,1753039171577557066,NA,1753039171589320250,105
Interval,Exception,1753039171589363367,1753039173710547740,NA,1753039173726133553,2121
Interval,Exception,1753039173726163172,1753039178047337271,NA,1753039178049823589,4321
Union,ErrorReturn,1753039178049842499,NA,NA,1753039206914553878,NA
Union,ErrorReturn,1753039206914592414,1753039206924629862,1753039206924630699,1753039206924630929,10
Union,ErrorReturn,1753039206924817554,1753039207029991616,1753039207029993788,1753039207029993932,105
Union,ErrorReturn,1753039207030050680,1753039209151141144,1753039209151151758,1753039209151152203,2121
Union,ErrorReturn,1753039209151219473,1753039213472302628,1753039213472311423,1753039213472312238,4321
Union,Exception,1753039213472383226,NA,NA,1753039242607720084,NA
Union,Exception,1753039242607760802,1753039242617839716,NA,1753039242617868094,10
Union,Exception,1753039242617883754,1753039242723070460,NA,1753039242723092861,105
Union,Exception,1753039242723155878,1753039244844249039,NA,1753039244844288576,2121
Union,Exception,1753039244844334607,1753039249165565262,NA,1753039249165605823,4321
