CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1753270508416607995,NA,NA,1753270535062123952,NA
AtomicEnum,ErrorReturn,1753270535062135800,NA,NA,1753270562399959621,NA
AtomicEnum,ErrorReturn,1753270562399965006,NA,NA,1753270591399187055,NA
AtomicEnum,ErrorReturn,1753270591399191489,NA,NA,1753270618864614283,NA
AtomicEnum,ErrorReturn,1753270618864620302,NA,NA,1753270646365853193,NA
AtomicEnum,ErrorReturn,1753270646365929020,1753270646376178917,1753270646376179895,1753270646376180016,10
AtomicEnum,ErrorReturn,1753270646376330988,1753270646386507169,1753270646386508087,1753270646386508206,10
AtomicEnum,ErrorReturn,1753270646386548804,1753270646396645527,1753270646396646032,1753270646396646145,10
AtomicEnum,ErrorReturn,1753270646396684005,1753270646406798086,1753270646406799013,1753270646406799156,10
AtomicEnum,ErrorReturn,1753270646406839133,1753270646416926220,1753270646416926804,1753270646416926909,10
AtomicEnum,ErrorReturn,1753270646416961224,1753270646522068181,1753270646522068821,1753270646522068934,105
AtomicEnum,ErrorReturn,1753270646522130160,1753270646627361858,1753270646627362453,1753270646627362560,105
AtomicEnum,ErrorReturn,1753270646627399322,1753270646732574783,1753270646732575481,1753270646732575568,105
AtomicEnum,ErrorReturn,1753270646732614290,1753270646837818469,1753270646837819025,1753270646837819119,105
AtomicEnum,ErrorReturn,1753270646837855727,1753270646943035587,1753270646943036189,1753270646943036276,105
AtomicEnum,ErrorReturn,1753270646943072462,1753270649064274441,1753270649064275295,1753270649064275555,2121
AtomicEnum,ErrorReturn,1753270649064333492,1753270651185553206,1753270651185554026,1753270651185554114,2121
AtomicEnum,ErrorReturn,1753270651185606090,1753270653306813241,1753270653306814803,1753270653306814897,2121
AtomicEnum,ErrorReturn,1753270653306864623,1753270655428058373,1753270655428059993,1753270655428060249,2121
AtomicEnum,ErrorReturn,1753270655428125743,1753270657549322956,1753270657549323547,1753270657549323646,2121
AtomicEnum,ErrorReturn,1753270657549369955,1753270661870570181,1753270661870571433,1753270661870571689,4321
AtomicEnum,ErrorReturn,1753270661870629404,1753270666191846149,1753270666191847477,1753270666191847798,4321
AtomicEnum,ErrorReturn,1753270666191916476,1753270670513127045,1753270670513129152,1753270670513129435,4321
AtomicEnum,ErrorReturn,1753270670513212332,1753270674834422285,1753270674834423805,1753270674834424142,4321
AtomicEnum,ErrorReturn,1753270674834489358,1753270679155696685,1753270679155699453,1753270679155699799,4321
AtomicEnum,Exception,1753270679155797292,NA,NA,1753270705987661809,NA
AtomicEnum,Exception,1753270705987669589,NA,NA,1753270732723132837,NA
AtomicEnum,Exception,1753270732723138972,NA,NA,1753270759485984919,NA
AtomicEnum,Exception,1753270759485992500,NA,NA,1753270786184634660,NA
AtomicEnum,Exception,1753270786184640705,NA,NA,1753270812938937296,NA
AtomicEnum,Exception,1753270812938994247,1753270812949182263,1753270812949182927,1753270812949245896,10
AtomicEnum,Exception,1753270812949260332,1753270812959436057,1753270812959436739,1753270812959445195,10
AtomicEnum,Exception,1753270812959609302,1753270812969704469,1753270812969705106,1753270812969711873,10
AtomicEnum,Exception,1753270812969750146,1753270812979839334,1753270812979839835,1753270812979843753,10
AtomicEnum,Exception,1753270812979883475,1753270812989970040,1753270812989970472,1753270812989973432,10
AtomicEnum,Exception,1753270812990143105,1753270813095260251,1753270813095261130,1753270813095268174,105
AtomicEnum,Exception,1753270813095565691,1753270813200752179,1753270813200753296,1753270813200760584,105
AtomicEnum,Exception,1753270813200910484,1753270813306105051,1753270813306105779,1753270813306113549,105
AtomicEnum,Exception,1753270813306244311,1753270813411423115,1753270813411423962,1753270813411431056,105
AtomicEnum,Exception,1753270813411646903,1753270813516834146,1753270813516834792,1753270813516842142,105
AtomicEnum,Exception,1753270813517018941,1753270815638128146,1753270815638129676,1753270815638144694,2121
AtomicEnum,Exception,1753270815638293803,1753270817759464751,1753270817759465868,1753270817759472835,2121
AtomicEnum,Exception,1753270817759602166,1753270819880709697,1753270819880711885,1753270819880730761,2121
AtomicEnum,Exception,1753270819880776683,1753270822001964699,1753270822001965555,1753270822001976018,2121
AtomicEnum,Exception,1753270822002119913,1753270824123354674,1753270824123357979,1753270824123386413,2121
AtomicEnum,Exception,1753270824123427117,1753270828444640128,1753270828444641016,1753270828444654729,4321
AtomicEnum,Exception,1753270828444718159,1753270832765911210,1753270832765913031,1753270832765941392,4321
AtomicEnum,Exception,1753270832766000465,1753270837087212990,1753270837087214856,1753270837087241883,4321
AtomicEnum,Exception,1753270837087297379,1753270841408486202,1753270841408487965,1753270841408509861,4321
AtomicEnum,Exception,1753270841408574340,1753270845729684043,1753270845729686593,1753270845729712566,4321
FunctionExchange,ErrorReturn,1753270845729738351,NA,NA,1753270873065753329,NA
FunctionExchange,ErrorReturn,1753270873065759380,NA,NA,1753270899765735927,NA
FunctionExchange,ErrorReturn,1753270899765742545,NA,NA,1753270926365536978,NA
FunctionExchange,ErrorReturn,1753270926365543333,NA,NA,1753270953536971881,NA
FunctionExchange,ErrorReturn,1753270953536976231,NA,NA,1753270979931626758,NA
FunctionExchange,ErrorReturn,1753270979931669106,1753270979941854454,1753270979941856138,1753270979941856211,10
FunctionExchange,ErrorReturn,1753270979941906987,1753270979952119710,1753270979952120878,1753270979952120952,10
FunctionExchange,ErrorReturn,1753270979952258064,1753270979962367507,1753270979962369172,1753270979962369260,10
FunctionExchange,ErrorReturn,1753270979962413957,1753270979972521834,1753270979972523049,1753270979972523126,10
FunctionExchange,ErrorReturn,1753270979972566232,1753270979982649013,1753270979982649745,1753270979982649795,10
FunctionExchange,ErrorReturn,1753270979982680500,1753270980087788624,1753270980087789843,1753270980087789883,105
FunctionExchange,ErrorReturn,1753270980087827019,1753270980193014978,1753270980193029711,1753270980193029761,105
FunctionExchange,ErrorReturn,1753270980193058693,1753270980298262469,1753270980298263754,1753270980298263778,105
FunctionExchange,ErrorReturn,1753270980298303195,1753270980403483464,1753270980403484543,1753270980403484583,105
FunctionExchange,ErrorReturn,1753270980403523597,1753270980508701365,1753270980508702765,1753270980508702793,105
FunctionExchange,ErrorReturn,1753270980508743199,1753270982629931524,1753270982629932869,1753270982629932901,2121
FunctionExchange,ErrorReturn,1753270982629972765,1753270984751187184,1753270984751188880,1753270984751189156,2121
FunctionExchange,ErrorReturn,1753270984751258759,1753270986872471071,1753270986872472586,1753270986872472615,2121
FunctionExchange,ErrorReturn,1753270986872514806,1753270988993707834,1753270988993710600,1753270988993710962,2121
