CancelType,CleanupType,CancelTimeMs
Interval,ErrorReturn,0.00038400
Union,ErrorReturn,0.00041920
AtomicEnum,ErrorReturn,0.00044800
FunctionExchange,ErrorReturn,0.00044800
FunctionPointerExchangeCallConv,ErrorReturn,0.00048640
FunctionPointerExchange,ErrorReturn,0.00049920
FunctionPointerExchangeDifferentCompUnit,ErrorReturn,0.00056960
Union,Exception,0.01412480
Interval,Exception,0.01616640
FunctionPointerExchange,Exception,0.01764160
AtomicEnum,Exception,0.01775360
FunctionExchange,Exception,0.01800960
FunctionPointerExchangeDifferentCompUnit,Exception,
FunctionPointerExchangeJustExec,Exception,
