,CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs,ExecutionTimeMs
0,AtomicEnum,ErrorReturn,1754070149196160246,,,1754070176228529600,,27032.369354
1,AtomicEnum,ErrorReturn,1754070176228537713,,,1754070203246691831,,27018.154118
2,AtomicEnum,ErrorReturn,1754070203246695423,,,1754070230770840022,,27524.144599
3,AtomicEnum,ErrorReturn,1754070230770844007,,,1754070258127389435,,27356.545428
4,AtomicEnum,ErrorReturn,1754070258127394346,,,1754070285574304783,,27446.910437
5,AtomicEnum,ErrorReturn,1754070285574308315,,,1754070312992643836,,27418.335521
6,AtomicEnum,ErrorReturn,1754070312992648714,,,1754070340298311522,,27305.662808
7,AtomicEnum,ErrorReturn,1754070340298319158,,,1754070367196676832,,26898.357674
8,AtomicEnum,ErrorReturn,1754070367196682837,,,1754070394315263081,,27118.580244
9,AtomicEnum,ErrorReturn,1754070394315268130,,,1754070421536929314,,27221.661184
10,AtomicEnum,ErrorReturn,1754070421536936065,,,1754070448929929456,,27392.993391
11,AtomicEnum,ErrorReturn,1754070448929936027,,,1754070475834914476,,26904.978449
12,AtomicEnum,ErrorReturn,1754070475834920028,,,1754070503536757414,,27701.837386
13,AtomicEnum,ErrorReturn,1754070503536764240,,,1754070531035020325,,27498.256085
14,AtomicEnum,ErrorReturn,1754070531035026700,,,1754070558034399726,,26999.373026
15,AtomicEnum,ErrorReturn,1754070558034406652,,,1754070584975265803,,26940.859151
16,AtomicEnum,ErrorReturn,1754070584975282939,,,1754070611879332338,,26904.049399
17,AtomicEnum,ErrorReturn,1754070611879338277,,,1754070638733504276,,26854.165999
18,AtomicEnum,ErrorReturn,1754070638733511842,,,1754070665896868332,,27163.35649
19,AtomicEnum,ErrorReturn,1754070665896873966,,,1754070693182101342,,27285.227376
20,AtomicEnum,ErrorReturn,1754070693182107573,,,1754070719951678407,,26769.570834
21,AtomicEnum,ErrorReturn,1754070719951684535,,,1754070747260011477,,27308.326942
22,AtomicEnum,ErrorReturn,1754070747260018922,,,1754070774866550934,,27606.532012
23,AtomicEnum,ErrorReturn,1754070774866557058,,,1754070801238567514,,26372.010456
24,AtomicEnum,ErrorReturn,1754070801238571648,,,1754070828330541932,,27091.970284
25,AtomicEnum,ErrorReturn,1754070828330547238,,,1754070855026191349,,26695.644111
26,AtomicEnum,ErrorReturn,1754070855026197201,,,1754070881577540655,,26551.343454
27,AtomicEnum,ErrorReturn,1754070881577547544,,,1754070908199501500,,26621.953956
28,AtomicEnum,ErrorReturn,1754070908199504879,,,1754070935853125992,,27653.621113
29,AtomicEnum,ErrorReturn,1754070935853133332,,,1754070963220047660,,27366.914328
30,AtomicEnum,ErrorReturn,1754070963220053425,,,1754070990648025215,,27427.97179
31,AtomicEnum,ErrorReturn,1754070990648032764,,,1754071017958667301,,27310.634537
32,AtomicEnum,ErrorReturn,1754071017958674018,,,1754071045374065431,,27415.391413
33,AtomicEnum,ErrorReturn,1754071045374070897,,,1754071072318077590,,26944.006693
34,AtomicEnum,ErrorReturn,1754071072318083091,,,1754071100153605994,,27835.522903
35,AtomicEnum,ErrorReturn,1754071100153612950,,,1754071127313964597,,27160.351647
36,AtomicEnum,ErrorReturn,1754071127313969195,,,1754071154257133277,,26943.164082
37,AtomicEnum,ErrorReturn,1754071154257139534,,,1754071181098807367,,26841.667833
38,AtomicEnum,ErrorReturn,1754071181098811294,,,1754071208155454272,,27056.642978
39,AtomicEnum,ErrorReturn,1754071208155459073,,,1754071236114586284,,27959.127211
40,AtomicEnum,ErrorReturn,1754071236114590063,,,1754071263235533435,,27120.943372
41,AtomicEnum,ErrorReturn,1754071263235545988,,,1754071290183931954,,26948.385966
42,AtomicEnum,ErrorReturn,1754071290183938388,,,1754071317153865366,,26969.926978
43,AtomicEnum,ErrorReturn,1754071317153872666,,,1754071344015832385,,26861.959719
44,AtomicEnum,ErrorReturn,1754071344015839184,,,1754071370994612946,,26978.773762
45,AtomicEnum,ErrorReturn,1754071370994619815,,,1754071397837754350,,26843.134535
46,AtomicEnum,ErrorReturn,1754071397837760278,,,1754071424846337660,,27008.577382
47,AtomicEnum,ErrorReturn,1754071424846343839,,,1754071452374873500,,27528.529661
48,AtomicEnum,ErrorReturn,1754071452374879384,,,1754071479807868071,,27432.988687
49,AtomicEnum,ErrorReturn,1754071479807874067,,,1754071506881298928,,27073.424861
50,AtomicEnum,ErrorReturn,1754071506881304854,,,1754071533650765204,,26769.46035
