CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1752587687774541e3,NA,NA,1.7525877156862239e+18,NA
AtomicEnum,ErrorReturn,1752587715686238200,NA,NA,1752587743374240300,NA
AtomicEnum,ErrorReturn,1752587743374246e3,NA,NA,1752587770862389200,NA
AtomicEnum,ErrorReturn,1752587770862395100,NA,NA,1752587798265972200,NA
AtomicEnum,ErrorReturn,175258779826598e4,NA,NA,1752587825652896e3,NA
AtomicEnum,ErrorReturn,1752587825653006800,1752587825663204900,1752587825663207400,1752587825663207400,10
AtomicEnum,ErrorReturn,1752587825663397e3,1752587825673583600,1752587825673585e3,1752587825673585e3,10
AtomicEnum,ErrorReturn,1752587825673652500,1752587825683826e3,1752587825683826200,1752587825683826200,10
AtomicEnum,ErrorReturn,1752587825683849700,1752587825694027800,1752587825694028800,1752587825694028800,10
AtomicEnum,ErrorReturn,1752587825694173200,1752587825704366e3,1752587825704367e3,1752587825704367400,10
AtomicEnum,ErrorReturn,1752587825704423700,1752587825804541700,1752587825804542700,1752587825804543e3,100
AtomicEnum,ErrorReturn,1752587825804592400,1752587825904837400,1752587825904839200,1752587825904839400,100
AtomicEnum,ErrorReturn,1752587825904892400,1752587826005067800,1752587826005069e3,1752587826005069300,100
AtomicEnum,ErrorReturn,1752587826005121300,1752587826105315600,1752587826105317e3,1752587826105317e3,100
AtomicEnum,ErrorReturn,1752587826105377300,1752587826205579500,1752587826205582800,1752587826205582800,100
AtomicEnum,ErrorReturn,1752587826205655600,1752587828205855700,1752587828205858600,1752587828205858800,2000
AtomicEnum,ErrorReturn,1752587828206016300,1752587830206123300,1752587830206126600,1752587830206127e3,2000
AtomicEnum,ErrorReturn,1752587830206257200,1752587832206453500,1752587832206455800,1752587832206456e3,2000
AtomicEnum,ErrorReturn,175258783220655e4,1752587834206642200,1752587834206644700,1752587834206645200,2000
AtomicEnum,ErrorReturn,1752587834206733300,1752587836206932700,1752587836206935600,1752587836206936e3,2000
AtomicEnum,ErrorReturn,1752587836207182e3,1752587840207349500,1752587840207352e3,1752587840207352300,4000
AtomicEnum,ErrorReturn,1752587840207542800,1752587844207745300,1752587844207748600,1752587844207748900,4000
AtomicEnum,ErrorReturn,1752587844207859500,1752587848208102100,1752587848208105e3,1752587848208105200,4000
AtomicEnum,ErrorReturn,1752587848208193500,1752587852208354300,1752587852208356900,1752587852208357e3,4000
AtomicEnum,ErrorReturn,1752587852208537e3,1752587856208849e3,1752587856208851e3,1752587856208851200,4000
AtomicEnum,Exception,1752587856208962e3,NA,NA,1752587883497820700,NA
AtomicEnum,Exception,1752587883497827300,NA,NA,1752587910755151e3,NA
AtomicEnum,Exception,1752587910755157500,NA,NA,1752587938199312600,NA
AtomicEnum,Exception,1752587938199318500,NA,NA,1752587965591185e3,NA
AtomicEnum,Exception,1752587965591191300,NA,NA,1752587992928617e3,NA
AtomicEnum,Exception,1752587992928674300,1752587992938782200,1752587992938782700,1752587992938849800,10
